0,MYLVRANDMY-MY,740,EUR,Louis Vuitton,Louis Vuitton Vintage Monogram Canvas Sac Randonn̩e Shoulder Bag,"Spacious and sophisticated 'Sac Randonn̬e' Shoulder Bag by LOUIS VUITTON, crafted in timeless monogram canvas. This model is discontinued so it is no longer available in stores. The bag features a large main compartment, a removable inner zip pouch and adjustable leather shoulder straps. It can be worn as a shoulder bag or as a backpack. 'LOUIS VUITTON Paris' and 'Made in France' engraved on the side of the bottom trim. Data code is 003 A2 Details MATERIAL: Canvas COLOR: Brown MODEL: Sac Randonn̩e GENDER: Unisex Adults COUNTRY OF MANUFACTURE: France SIZE: Large STYLE: Backpack FEATURES: Adjustable Strap CLOSURE: Drawstring PATTERN: Monogram PRODUCT LINE: Louis Vuitton Monogram LINING MATERIAL: Canvas OCCASION: Everyday HANDLE STYLE: Shoulder Strap YEAR MANUFACTURED: 1980-1989 DUSTBAG? No, we will provide an organic cotton dustbag BOX? No KEYS? No Condition B - VERY GOOD Some scratches and darkness on leather trim (especially on the bottom). A bottom corner shows a dark stain, some normal wear of use on the internal lining, some normal wear of use on the hardware. Please check the photos carefully and ask if you need to know more details or if you have any doubts. Measurements BAG HEIGHT: 17.5 inches - 44,5 cm BAG LENGTH: 12.5 inches - 31.75 cm BAG DEPTH: 5.5 inches - 13.97 cm STRAP DROP: - HANDLE DROP: -",BAGS,Backpacks,Canvas,Brown,0.00,L,,,12.5,17.5,5.5,"BAG HEIGHT: 17.5 inches - 44,5 cm BAG LENGTH: 12.5 inches - 31.75 cm BAG DEPTH: 5.5 inches - 13.97 cm STRAP DROP: - HANDLE DROP: -",,,Please read item description,B - VERY GOOD,https://cdn.shopify.com/s/files/1/1593/2761/products/b1f9141c-6c86-56d9-aad0-46a2440fc74f.jpg?v=1614768564,"https://cdn.shopify.com/s/files/1/1593/2761/products/0f23d06b-ce9e-5a25-a4cf-14a71a7e05c9.jpg?v=1614768566,https://cdn.shopify.com/s/files/1/1593/2761/products/45452b52-ca59-5f51-8ebc-1fdffb0125dc.jpg?v=1614768569,https://cdn.shopify.com/s/files/1/1593/2761/products/7d9c70df-21db-5003-b858-7c45dab2cba6.jpg?v=1614768571,https://cdn.shopify.com/s/files/1/1593/2761/products/637014f7-1524-5c5a-a9c3-6261cd3fc4f6.jpg?v=1614768573,https://cdn.shopify.com/s/files/1/1593/2761/products/970c0a39-0d23-5869-95cf-6656ad97de25.jpg?v=1614768575,https://cdn.shopify.com/s/files/1/1593/2761/products/2db4a142-5778-5b94-a0e2-07105e045ad2.jpg?v=1614768577,https://cdn.shopify.com/s/files/1/1593/2761/products/be3bf207-c0eb-53c9-a1c4-5c75370cf8ab.jpg?v=1614768579"
0,DRSDE1005390-XX,67,EUR,Just Cavalli,Just Cavalli Mint Women Red Sunglasses JC589S 5675W 56-18-140 mm,Details MATERIAL: Acetate COLOR: Red MODEL: JC589S 5675W GENDER: Women COUNTRY OF MANUFACTURE: China TYPE: Sunglasses ORIGINAL CASE?: Yes STYLE: Oval OCCASION: Casual FEATURES: Lightweight LENS COLOR: Grey LENS TECHNOLOGY: Gradient YEAR MANUFACTURED: 2010-2019 VINTAGE?: No Condition A+ - MINT Measurements EYEWEAR MAX WIDTH:140 mm TEMPLE MAX. LENGTH:135 mm EYE / LENS MAX. WIDTH:56 mm EYE / LENS MAX. HEIGHT:48 mm BRIDGE MID. WIDTH:18 mm,ACCESSORIES,Sunglasses,Acetate,Red,135.00,Onesize,,,,,,EYEWEAR MAX WIDTH:140 mm TEMPLE MAX. LENGTH:135 mm EYE / LENS MAX. WIDTH:56 mm EYE / LENS MAX. HEIGHT:48 mm BRIDGE MID. WIDTH:18 mm,,,Please read item description,A+ - MINT,https://cdn.shopify.com/s/files/1/1593/2761/products/ff44d8d768f3a8b639e12f28a246c625ce6c1c1ad.jpg?v=1615008141,"https://cdn.shopify.com/s/files/1/1593/2761/products/fc1b13b6959b1d8adf43f512ae1fe588cf5205d7d.jpg?v=1615008141,https://cdn.shopify.com/s/files/1/1593/2761/products/f8b2eb4bb91660426ba94bf76bf71258b65427a9a.jpg?v=1615008141,https://cdn.shopify.com/s/files/1/1593/2761/products/f5c371f21b434710fe03ce2ab3251f9a32eaeae53.jpg?v=1618577572,https://cdn.shopify.com/s/files/1/1593/2761/products/f779f0b81c807b4b3ce69d61404ebbbee938528a3.jpg?v=1618577572,https://cdn.shopify.com/s/files/1/1593/2761/products/fe76ff7368f2e0b4edaa94a011540b22bf14c38ea.jpg?v=1618577572"
0,DRSDE1008910-XX,67,EUR,Just Cavalli,Just Cavalli Mint Women Blue Sunglasses JC589S 5690Z 56-18-140 mm,Details MATERIAL: Acetate COLOR: Blue MODEL: JC589S 5690Z GENDER: Women COUNTRY OF MANUFACTURE: China TYPE: Sunglasses ORIGINAL CASE?: Yes STYLE: Oval OCCASION: Casual FEATURES: Lightweight LENS COLOR: Purple LENS TECHNOLOGY: Mirrored YEAR MANUFACTURED: 2010-2019 VINTAGE?: No Condition A+ - MINT Measurements EYEWEAR MAX WIDTH:140 mm TEMPLE MAX. LENGTH:135 mm EYE / LENS MAX. WIDTH:56 mm EYE / LENS MAX. HEIGHT:48 mm BRIDGE MID. WIDTH:18 mm,ACCESSORIES,Sunglasses,Acetate,Blue,135.00,Onesize,,,,,,EYEWEAR MAX WIDTH:140 mm TEMPLE MAX. LENGTH:135 mm EYE / LENS MAX. WIDTH:56 mm EYE / LENS MAX. HEIGHT:48 mm BRIDGE MID. WIDTH:18 mm,,,Please read item description,A+ - MINT,https://cdn.shopify.com/s/files/1/1593/2761/products/f7741ac3c9bb4eed200f95e723ae68805ac7ccd43.jpg?v=1615011396,"https://cdn.shopify.com/s/files/1/1593/2761/products/f4192b3ccc4734bdc76244e855cffbcace25f7cdf.jpg?v=1615011397,https://cdn.shopify.com/s/files/1/1593/2761/products/f1f81837a1c826403a0d5e89886f2d1e2caad2f2f.jpg?v=1615011397,https://cdn.shopify.com/s/files/1/1593/2761/products/ffd4c63ca272c80ebbceb5763755dd873f725f446.jpg?v=1615011397,https://cdn.shopify.com/s/files/1/1593/2761/products/fbbdd1f974d59dd272c95995a734e0eeda18a8e8d.jpg?v=1618578915,https://cdn.shopify.com/s/files/1/1593/2761/products/f048c1cb39f3c7f18ce6106929a6fd09e72c000f9.jpg?v=1618578915,https://cdn.shopify.com/s/files/1/1593/2761/products/f8c280f246cab81a37d87f18e21847732a8395a78.jpg?v=1618578915,https://cdn.shopify.com/s/files/1/1593/2761/products/f38234a8d8c6f00e2991ee3b96eb15f1d79362078.jpg?v=1618578915"
0,GG27556-XX610,160,EUR,Gucci,Gucci Stainless Steel Ladies Wrist Watch Mod 6800 L Quartz,"Gucci stainless steel ladies wrist watch. Model 6800 L. Stainless steel case. Quartz movement. Water Resistant (up to 3 ATM). White dial. Swiss Made. Gucci written on face, clasp & reverse. White leather bangle bracelet strap. Folding clap closure. Will fit up to approx. 6 inches - 15.2 cm wrist Condition B - VERY GOOD The watch is in working condition. Some surface scratches on stainless steel. Gucci box is included. Please check the photos carefully and ask if you need to know more details or if you have any doubts. Details MATERIAL: Stainless Steel COLOR: Silver MODEL: 6800 L GENDER: Women COUNTRY OF MANUFACTURE: Switzerland TYPE: Wristwatch STYLE: Classic FEATURES: Swiss Made MOVEMENT: Quartz OCCASION: Everyday VINTAGE?: No YEAR MANUFACTURED: 2000-2009 BOX?: Yes DIAL COLOR: White WATER RESISTANCE:30 m (3 ATM) DIAL STYLE: 12-Hour Dial BAND TYPE: Two-Piece Strap SERIAL NUMBER: - HANDEDNESS: Both Hands BAND WIDTH:5 mm BAND MATERIAL:Stainless Steel CASE COLOR:Silver DISPLAY:Analog CASE SIZE:15 mm",JEWELRY,Watches,Steel,Silver,0.00,Onesize,,,,,,,,,Please read item description,B - VERY GOOD,https://cdn.shopify.com/s/files/1/1593/2761/products/57fdd824-6d9e-5535-a0ca-0e4ff8e79890.jpg?v=1617374533,"https://cdn.shopify.com/s/files/1/1593/2761/products/4422da60-f483-58da-b432-d60ef9bb2cde.jpg?v=1617374536,https://cdn.shopify.com/s/files/1/1593/2761/products/269c00be-574d-54c5-b92c-9f4c17d0d380.jpg?v=1617374539,https://cdn.shopify.com/s/files/1/1593/2761/products/feb2de12-e36b-53c2-9fd3-3167a2d54466.jpg?v=1617374542,https://cdn.shopify.com/s/files/1/1593/2761/products/15978f70-dcc1-528b-8ada-46d2aa9c151d.jpg?v=1617374544,https://cdn.shopify.com/s/files/1/1593/2761/products/5da5b5c0-845d-50e2-ab7c-f3eba16cd23f.jpg?v=1617374546"
0,YSL24026-XX610,160,EUR,Yves Saint Laurent,Yves Saint Laurent Vintage Rectangle Watch 5421 HO87889 Y,"Vintage Yves Saint Laurent wrist watch. Model 5421 HO87889 Y. Gold-tone and silver-tone metal and stainless steel rectangle case (23 mm). White dial. Stainless steel strap. Circumference at wrist: 7 inches - 17,8 cm Condition B - VERY GOOD The watch is in working condition. Some light surface scratches on the bezel. Minimal wear of use on the reverse of the case. Please check the photos carefully and ask if you need to know more details or if you have any doubts. Details MATERIAL: Metal COLOR: Silver MODEL: 5421 HO87889 Y GENDER: Women COUNTRY OF MANUFACTURE: Japan TYPE: Wristwatch STYLE: Classic FEATURES: Swiss Made MOVEMENT: Quartz OCCASION: Formal VINTAGE?: Yes YEAR MANUFACTURED: 1980-1989 BOX?: No DIAL COLOR: White WATER RESISTANCE:30 m (3 ATM) DIAL STYLE: 12-Hour Dial BAND TYPE: Two-Piece Strap SERIAL NUMBER: - HANDEDNESS: Both Hands BAND WIDTH:20 mm BAND MATERIAL:Stainless Steel CASE COLOR:Gold DISPLAY:Analog CASE SIZE:23 mm",JEWELRY,Watches,Metal,Silver,0.00,Onesize,,,,,,,,,Please read item description,B - VERY GOOD,https://cdn.shopify.com/s/files/1/1593/2761/products/78809bf1-da30-52bc-a91b-a43132e8b9d1.jpg?v=1617713625,"https://cdn.shopify.com/s/files/1/1593/2761/products/4936e48a-dadc-53b6-a422-6c4362bd85cb.jpg?v=1617713627,https://cdn.shopify.com/s/files/1/1593/2761/products/1aaa6a42-9b1a-5539-b30d-f31084a41bf9.jpg?v=1617713629,https://cdn.shopify.com/s/files/1/1593/2761/products/8f8dd194-d6f1-5c75-988a-35bc95e1f3de.jpg?v=1617713631,https://cdn.shopify.com/s/files/1/1593/2761/products/77491577-6004-555c-9b35-08566c7f72c4.jpg?v=1617713634,https://cdn.shopify.com/s/files/1/1593/2761/products/21f7c57d-e4b2-5eda-95eb-44a8e47beb54.jpg?v=1617713636"
0,H15019-XX612,260,EUR,Hermes,Hermes Paris Vintage Blue Green Fourre Tout Vertical Shopping Bag Tote,"Model: 'HERMES Vertical FOURRE TOUT ' Shopping Bag. Made in France. Blue color with Green stripes. Material: 100% cotton. Durable canvas handles, perfect for casual and everyday use. Open top. 3 open pockets on the front. Canvas internal lining. 1 open pocket inside. Details MATERIAL: Cotton COLOR: Blue MODEL: Fourre Tout Vertical GENDER: Unisex Adults COUNTRY OF MANUFACTURE: France SIZE: Medium STYLE: Tote FEATURES: Lightweight CLOSURE: Open PATTERN: Solid PRODUCT LINE: Hermes Fourre Tout LINING MATERIAL: Cotton OCCASION: Everyday HANDLE STYLE: Double Handles YEAR MANUFACTURED: 1990-1999 DUSTBAG? No, we will provide an organic cotton dustbag BOX? No KEYS? No Condition A - EXCELLENT Gently used. Some normal wear of use on bottom corners. Please check the photos carefully and ask if you need to know more details or if you have any doubts. Measurements BAG HEIGHT: 14 inches - 35.56 cm BAG LENGTH: 13 inches - 33.02 cm BAG DEPTH: 3 inches - 7.62 cm STRAP DROP: - HANDLE DROP: 4.5 inches - 11.43 cm",BAGS,Totes,Cotton,Blue,0.00,M,,,13,14,3,BAG HEIGHT: 14 inches - 35.56 cm BAG LENGTH: 13 inches - 33.02 cm BAG DEPTH: 3 inches - 7.62 cm STRAP DROP: - HANDLE DROP: 4.5 inches - 11.43 cm,,,Please read item description,A - EXCELLENT,https://cdn.shopify.com/s/files/1/1593/2761/products/73a30837-bc3f-5348-ad03-cc8ba0380669.jpg?v=1618403503,"https://cdn.shopify.com/s/files/1/1593/2761/products/d1bbeb89-c4a5-506e-bb0e-237a70eea5f2.jpg?v=1618403505,https://cdn.shopify.com/s/files/1/1593/2761/products/44178bfd-76fd-5ec9-9123-dea1008a399d.jpg?v=1618403508,https://cdn.shopify.com/s/files/1/1593/2761/products/7b650d57-e503-51c3-9d5a-5becac696550.jpg?v=1618403510,https://cdn.shopify.com/s/files/1/1593/2761/products/1eb91f2b-8d2f-540b-9af3-d5da607f3559.jpg?v=1618403512,https://cdn.shopify.com/s/files/1/1593/2761/products/e13555e7-1861-5ef4-b0bc-0621bb8e53ab.jpg?v=1618403514"
0,MCFBR59-XXM,180,EUR,Louis Vuitton,Louis Vuitton Amarante Monogram Vernis Sarah Continental Wallet,"Louis Vuitton 'Sarah' wallet. Monogram vernis leather. Color: Amarante. Interior fully lined in leather. Flap with snap closure. 4 flat open pockets under the flap. 1 coin compartment with zip closure. 2 bill compartments. 1 open pocket & 6 credit card slots. 'LOUIS VUITTON Paris - Made in France' engraved on leather inside, authenticity serial number embossed on leather inside (#TH4089) Details MATERIAL: Patent Leather COLOR: Purple MODEL: Sarah Wallet GENDER: Women COUNTRY OF MANUFACTURE: France SIZE: Medium FABRIC TYPE: Leather STYLE: Fashionable ACCENTS: Logo TYPE: Wallet FEATURES: Pockets PRODUCT LINE: Louis Vuitton Monogram Vernis OCCASION: Everyday YEAR MANUFACTURED: 2000-2009 DUSTBAG? Yes BOX? No KEYS? No Condition A - EXCELLENT Gently used. Minimal wear of use on the lining. Please check the photos carefully and ask if you need to know more details or if you have any doubts. Measurements BAG HEIGHT: 4 inches - 10,2 cm BAG LENGTH: 7.5 inches - 19 cm BAG DEPTH: 1 inch - 2.54 cm",ACCESSORIES,Wallets,Leather,Purple,0.00,M,,,,,,,,,Please read item description,A - EXCELLENT,https://cdn.shopify.com/s/files/1/1593/2761/products/fb240248-9306-51d1-b66f-23c45a6b0162.jpg?v=1618479695,"https://cdn.shopify.com/s/files/1/1593/2761/products/f16fce46-feb6-5463-867c-6c6b3c3eabac.jpg?v=1618479697,https://cdn.shopify.com/s/files/1/1593/2761/products/9fb07072-9527-58b1-a614-e99db4cc76b2.jpg?v=1618479700,https://cdn.shopify.com/s/files/1/1593/2761/products/f4b6d702-fd93-5fd0-8559-58e8425119de.jpg?v=1618479702,https://cdn.shopify.com/s/files/1/1593/2761/products/81c48b34-8122-50e3-a5b4-83e89b4187c0.jpg?v=1618479704"
1,H18716-XX612,240,EUR,Hermes,Hermes Paris Gray Canvas Fourre Tout PM Bag Ginza 2001 Limited Ed,"Model: 'HERMES FOURRE TOUT PM - Ginza 2001 Limited edition' Tote handbag, created for the Hermes Ginza store opening celebration in 2001. Made in France, Gray background with lgrey, orange and white stripes. Material: 100% cotton. It has snaps on both ends for expansion. Durable canvas handles, perfect for casual and everyday use. Open top with middle snap closure (button). Canvas internal lining. 1 zip pocket inside with leather zipper pull Details MATERIAL: Cotton COLOR: Gray MODEL: Fourre Tout PM - Ginza 2001 GENDER: Women COUNTRY OF MANUFACTURE: France SIZE: Small STYLE: Tote FEATURES: - CLOSURE: Button PATTERN: Solid PRODUCT LINE: Hermes Fourre Tout LINING MATERIAL: Canvas OCCASION: Casual HANDLE STYLE: Double Handles YEAR MANUFACTURED: 2000-2009 DUSTBAG? No, we will provide an organic cotton dustbag BOX? No KEYS? No Condition A - EXCELLENT Gently used. Some normal wear of use on bottom corners. Please check the photos carefully and ask if you need to know more details or if you have any doubts. Measurements BAG HEIGHT: 9 inches - 23 cm BAG LENGTH: 11.8 inches - 30 cm BAG DEPTH: 3.15 inches - 8 cm STRAP DROP: - HANDLE DROP:",BAGS,Handbags,Cotton,Gray,,S,,,11.8,9,3.15,BAG HEIGHT: 9 inches - 23 cm BAG LENGTH: 11.8 inches - 30 cm BAG DEPTH: 3.15 inches - 8 cm STRAP DROP: - HANDLE DROP:,,,Please read item description,A - EXCELLENT,https://cdn.shopify.com/s/files/1/1593/2761/products/434e38e9-1691-523e-947f-5d98c6cfc57f.jpg?v=1618579636,"https://cdn.shopify.com/s/files/1/1593/2761/products/d51c5865-0a66-538f-9c06-3ff878d05fb2.jpg?v=1618579636,https://cdn.shopify.com/s/files/1/1593/2761/products/fb6089fe-eb17-5965-b3b5-50c3147528d3.jpg?v=1618579636,https://cdn.shopify.com/s/files/1/1593/2761/products/419e1097-9e44-5751-8a84-857285183867.jpg?v=1618579636,https://cdn.shopify.com/s/files/1/1593/2761/products/7d61877c-295a-5422-9299-672fd18a4f68.jpg?v=1618579636,https://cdn.shopify.com/s/files/1/1593/2761/products/f001b8c3-c296-5364-97ed-56eac5f146dd.jpg?v=1618579636"
1,GG25631-XX612,190,EUR,Gucci,Gucci Vintage Stainless Steel Mod 1400 L Wrist Watch White Dial,"Gucci 1400 L stainless steel wrist watch from the 90s. Stainless steel case. White dial with monogram pattern. Sapphire crystal. Swiss Made Quartz movement. Gucci written on face. Water Resistant to 3atm. Clasp closure. Swiss Made. Will fit up to 6 inches - 15,2 cm wrist. Condition A - EXCELLENT The watch is in working condition. Please check the photos carefully and ask if you need to know more details or if you have any doubts. Details MATERIAL: Stainless Steel COLOR: Silver MODEL: 1400 L GENDER: Women COUNTRY OF MANUFACTURE: Switzerland TYPE: Wristwatch STYLE: Classic FEATURES: Swiss Made MOVEMENT: Quartz OCCASION: Everyday VINTAGE?: Yes YEAR MANUFACTURED: 1990-1999 BOX?: No DIAL COLOR: White WATER RESISTANCE:30 m (3 ATM) DIAL STYLE: 12-Hour Dial BAND TYPE: Bangle SERIAL NUMBER: 1400 L HANDEDNESS: Both Hands BAND WIDTH:6 mm BAND MATERIAL:Stainless Steel CASE COLOR:Silver DISPLAY:Analog CASE SIZE:24 mm",JEWELRY,Watches,Steel,Silver,0.00,Onesize,,,,,,,,,Please read item description,A - EXCELLENT,https://cdn.shopify.com/s/files/1/1593/2761/products/5ed9f3ac-2c17-53a6-9ff6-d801800a0f20.jpg?v=1618585059,"https://cdn.shopify.com/s/files/1/1593/2761/products/6277a472-7e96-598e-acb6-4fb736497fef.jpg?v=1618585061,https://cdn.shopify.com/s/files/1/1593/2761/products/bcd720de-d86c-55f2-9e10-e8ef7cef822c.jpg?v=1618585064,https://cdn.shopify.com/s/files/1/1593/2761/products/14f2f3d4-6729-5927-becc-75faeaf1bc37.jpg?v=1618585066,https://cdn.shopify.com/s/files/1/1593/2761/products/7509170c-bd18-53b3-8afb-11b3ed5f084b.jpg?v=1618585068,https://cdn.shopify.com/s/files/1/1593/2761/products/b3def173-1add-5bff-a171-868ac6c928da.jpg?v=1618585071"
1,21D1C75B-XX,40,EUR,Orciani,Orciani Brown Leather Belt with Silver Square Buckle Size 85,"Orciani Brown Leather Belt - Brown genuine leather - Silver metal Squared shaped Buckle - Single prong closure - 5-hole adjustment - 1 1/2 inches - 3,7 cm wide - Approx. total length (buckle included): 40 3/4 inches - 103,5 cm. Size: 85 Logos & tags: 'ORCIANI' engraved on the reverse of the buckle, 'made in Italy - genuine leather' engraved on the reverse of the belt, serial number engraved on the back Details MATERIAL: Leather COLOR: Brown MODEL: - GENDER: Women COUNTRY OF MANUFACTURE: Italy TYPE: Belt STYLE: Waist Belt BELT WIDTH: Medium PATTERN: Solid SIZE TYPE: Regular FEATURES: All Seasons HARDWARE MATERIAL: Metal YEAR MANUFACTURED: 2000-2009 WAIST SIZE: 85 VINTAGE?: Yes OCCASION: Casual DUSTBAG? No, we will provide an organic cotton dustbag Condition B - VERY GOOD Gently used. Minimal wear of use on leather, minimal sign of wear on the surface buckle. Comes with its original boxPlease check the photos carefully and ask if you need to know more details or if you have any doubts. Measurements BELT WIDTH: Medium BELT LENGTH: 40.75 inches - 103,5 cm",ACCESSORIES,Belts,Leather,Brown,0.00,Onesize,,,,,,"BELT WIDTH: Medium BELT LENGTH: 40.75 inches - 103,5 cm",,,Please read item description,B - VERY GOOD,https://cdn.shopify.com/s/files/1/1593/2761/products/fb75c684-0714-5edc-b09f-88937ade99c8.jpg?v=1618594240,"https://cdn.shopify.com/s/files/1/1593/2761/products/67bdfa74-ee69-54f7-8bd9-4bab57789c6d.jpg?v=1618594242,https://cdn.shopify.com/s/files/1/1593/2761/products/1db78f8d-4ef9-501a-b781-47819d7e1c0c.jpg?v=1618594245,https://cdn.shopify.com/s/files/1/1593/2761/products/2c4b2805-a0d0-5655-98a7-ed07e9a3d714.jpg?v=1618594247"
1,LVTH1916-XX,420,EUR,Louis Vuitton,Louis Vuitton Vintage Brown Monogram Canvas Alma Top Handle Bag,"Inspired by the shape invented in the 30s by Gaston Vuitton, the ALMA by LOUIS VUITTON is a classic of the House. Double top handle carried, this bag is crafted in timeless monogram canvas. The inside is lined with brown canvas lining and it has 1 open pocket inside. Cowhide leather handles and bottom. Logos / Tags: LV - LOUIS VUITTON monogram canvas, 'LOUIS VUITTON Paris - Made in France' engraved on the side, LV - LOUIS VUITTON zipper pulls, serial number (date code) TH1916 engraved on leather tag inside the interior pocket, LV - LOUIS VUITTON zipper pulls. Details MATERIAL: Canvas COLOR: Brown MODEL: Alma GENDER: Women COUNTRY OF MANUFACTURE: France SIZE: Medium STYLE: Satchel FEATURES: - CLOSURE: Zip PATTERN: Monogram PRODUCT LINE: Louis Vuitton Monogram Alma LINING MATERIAL: Canvas OCCASION: Everyday HANDLE STYLE: Double Handles YEAR MANUFACTURED: 1990-1999 DUSTBAG? No, we will provide an organic cotton dustbag BOX? No KEYS? No Condition B - VERY GOOD Gently used! some normal wear of use - Some darkness scratches on the leather bottom and handles (especially on bottom corners). Some normal wear of use on hardware. Some normal wear of use on the internal lining. No keys and no padlock. Measurements BAG HEIGHT: 9 inches - 22.9 cm BAG LENGTH: 11.75 inches - 30 cm BAG DEPTH: 6.5 inches - 16,5 cm STRAP DROP: - HANDLE DROP: 4 inches - 10.16 cm",BAGS,Handbags,Canvas,Brown,0.00,M,,,11.75,9,6.5,"BAG HEIGHT: 9 inches - 22.9 cm BAG LENGTH: 11.75 inches - 30 cm BAG DEPTH: 6.5 inches - 16,5 cm STRAP DROP: - HANDLE DROP: 4 inches - 10.16 cm",,,Please read item description,B - VERY GOOD,https://cdn.shopify.com/s/files/1/1593/2761/products/ef64f8f2-643c-516e-afbc-94ef75b4cbef.jpg?v=1618594652,"https://cdn.shopify.com/s/files/1/1593/2761/products/df7a6524-110d-5738-bcd7-ce0966ca5b99.jpg?v=1618594654,https://cdn.shopify.com/s/files/1/1593/2761/products/05ed0633-4bae-5ca0-9212-c78e1a7feb83.jpg?v=1618594656,https://cdn.shopify.com/s/files/1/1593/2761/products/e2ac37b8-b87a-5dfb-9290-b936b740d575.jpg?v=1618594659,https://cdn.shopify.com/s/files/1/1593/2761/products/621a3b1c-54b3-5cb7-b00c-116738fd44a3.jpg?v=1618594662,https://cdn.shopify.com/s/files/1/1593/2761/products/58b2347a-6b02-56e7-9002-e8f0f434a706.jpg?v=1618594664"
0,DIOR2659-XX,195,EUR,Christian Dior,Christian Dior Vintage Brown Mint Sunglasses 2659 59/14 135 mm,"Christian Dior Vintage Sunglasses, Model 2659 - 11. Brown Optyl frame with marbled effect. Gold metal cut-out detailing on temples. Brown gradient lenses. Made in Germany. Details MATERIAL: Plastic COLOR: Brown MODEL: 2659 GENDER: Women COUNTRY OF MANUFACTURE: Germany TYPE: Sunglasses ORIGINAL CASE?: No, we will provide a generic case STYLE: Rectangle OCCASION: Everyday FEATURES: Lightweight LENS COLOR: Brown LENS TECHNOLOGY: Gradient YEAR MANUFACTURED: 1980-1989 VINTAGE?: Yes Condition A+ - MINT NEW OLD STOCK - Never worn or used - Minimal residual glue inside. They will come with a Generic Case Measurements EYEWEAR MAX WIDTH:145 mm TEMPLE MAX. LENGTH: 135 mm EYE / LENS MAX. WIDTH: 59 mm EYE / LENS MAX. HEIGHT: 39 mm BRIDGE MID. WIDTH: 14 mm",ACCESSORIES,Sunglasses,Plastic,Beige,0.00,Onesize,,,,,,EYEWEAR MAX WIDTH:145 mm TEMPLE MAX. LENGTH: 135 mm EYE / LENS MAX. WIDTH: 59 mm EYE / LENS MAX. HEIGHT: 39 mm BRIDGE MID. WIDTH: 14 mm,,,Please read item description,A+ - MINT,https://cdn.shopify.com/s/files/1/1593/2761/products/5662060b-045d-5d2f-8b0d-f5e2d64ab33d.jpg?v=1610993711,"https://cdn.shopify.com/s/files/1/1593/2761/products/b3eb23d9-74a8-5885-8e1e-5734f28078f2.jpg?v=1610993713,https://cdn.shopify.com/s/files/1/1593/2761/products/86492f93-7caa-573d-9590-d93a39d67582.jpg?v=1610993715,https://cdn.shopify.com/s/files/1/1593/2761/products/916aedd8-a9da-5c86-84e9-8957aa1a452b.jpg?v=1610993717,https://cdn.shopify.com/s/files/1/1593/2761/products/e136e0df-2a1d-575e-a214-7b34e6069dca.jpg?v=1610993719,https://cdn.shopify.com/s/files/1/1593/2761/products/9191a671-d22e-5fdc-a1ac-2627605a43bb.jpg?v=1610993721,https://cdn.shopify.com/s/files/1/1593/2761/products/087a2e00-c70e-5759-8aa5-ac0adbe19c2e.jpg?v=1610993723"
0,DIOR2880-XX,195,EUR,Christian Dior,Christian Dior Vintage Mint Unisex Gold Metal Sunglasses 2880 55/17 135 mm,"Original vintage oval sunglasses, mod. 2880 - 40 - 135, from the late 1990s. Gold metal frame with brown accents on the front. Made in Austria. CD logo on the sides. Gradient grey lenses (100% UV total protection). Details MATERIAL: Metal COLOR: Gold MODEL: 2880 GENDER: Unisex Adults COUNTRY OF MANUFACTURE: Austria TYPE: Sunglasses ORIGINAL CASE?: No, we will provide a generic case STYLE: Oval OCCASION: Everyday FEATURES: Lightweight LENS COLOR: Grey LENS TECHNOLOGY: Gradient YEAR MANUFACTURED: 1990-1999 VINTAGE?: Yes Condition A+ - MINT NOS (NEW OLD STOCK) - Never Worn or Used - They will come with a GENERIC Case Measurements EYEWEAR MAX WIDTH:135 mm TEMPLE MAX. LENGTH: 135 mm EYE / LENS MAX. WIDTH: 55 mm EYE / LENS MAX. HEIGHT: 46 mm BRIDGE MID. WIDTH: 17 mm",ACCESSORIES,Sunglasses,Metal,Gold,,Onesize,,,,,,EYEWEAR MAX WIDTH:135 mm TEMPLE MAX. LENGTH: 135 mm EYE / LENS MAX. WIDTH: 55 mm EYE / LENS MAX. HEIGHT: 46 mm BRIDGE MID. WIDTH: 17 mm,,,Please read item description,A+ - MINT,https://cdn.shopify.com/s/files/1/1593/2761/products/a398c34b-1a26-570e-9aa7-cadcb63b2eec.jpg?v=1615455738,"https://cdn.shopify.com/s/files/1/1593/2761/products/8bc0a06d-74a9-5bb9-ba1f-cf329653fa61.jpg?v=1615455740,https://cdn.shopify.com/s/files/1/1593/2761/products/9aab19d7-0a9c-566e-90ac-faaf854c8291.jpg?v=1615455742,https://cdn.shopify.com/s/files/1/1593/2761/products/6f59113e-66dc-5cc1-b009-4288e030691e.jpg?v=1615455744,https://cdn.shopify.com/s/files/1/1593/2761/products/94e99e6d-da0e-55ec-a8a1-c79a700ed1ea.jpg?v=1615455747"
